Business Name,Business Category,Address,Contact
Aman Bijli Ghar,Electronics store,"Shop No 01, Hanuman Nagar Bypass, near Aman Bijli Ghar",080518 25939
Manju Rai,Electronics store,"Shop No 01, near Shiv Mandir",073882 25767
Amar Software,Computer store,"02, near Bypass Road",099557 00335
Mahalaxmi Photo State,Computer store,near Union Bank,062060 92886
Maa Geeta Cyber Cafe,Computer store,"Infront of Kamaldah, Pokhra Park, Station Rd",082522 53135
Trisha Electrical,Electronics store,"Shop No 01, near Punjab Bank",070705 02492
ASHUTOSH KUMAR,Computer store,"02, TURHA TOLI MAIN ROAD",092628 21120
Shree Electronics,Electronics store,"Chowk, near pakwa innar",091101 50751
Fresh Chicken Shop,Camera store,"Fresh Chicken Shop, Station Rd, in front of Tanishq Shoow Room",099054 76734
Guddu Chiken Shop,Camera store,"Bucur, PP Rd",087091 58945
Surya Printer's & Online Service,Computer store,"Surya Prakash Bhawan, 26, Namak Gola Road",062023 21112
Verma Electronics,Electronics store,"111, SH 13",094310 83767
letest downloadind mobile centre,Electronics store,HX39+Q8F,088041 25492
Keshari electronic,Electronics store,Keshari electronic,063641 27255
Neha Communication,Electronics store,"HXGH+GM5, Main Rd",063035 02200
Viswakarma electric,Electronics store,"HXGJ+CPG, main road machharhatta pull",085409 25770
Edutech -JioMart Digital Partner,Electronics store,"Durga Complex, Collectorate Road",062997 84079
Riya Electronics & Mobile,Electronics store,nai bazar ward no 7,091222 24503
MEHTA ELECTRIC,Electronics store,Geeta Mandal,062046 38342
Maruti nandan mobile,Electronics store,"HXGF+JR5, PP Rd",092346 17690
Vaishnavi Super Mart,Indian grocery store,Kamla Nivas,076070 01641
Sri Ram Trader's,Indian grocery store,Collectorate road,091552 96650
City Grocery Mart,Indian grocery store,FCI Rd,062004 02860
Amit Khaini Dukan,Grocery store,"Rinku Khaini Dukan, Amit Bhawan, 12, Jail More",091131 40062
Ritesh Gupta,Grocery store,"Ritesh Bhawan, 22, Station Rd",074930 83060
Bhawani Enterprises Limited,Grocery store,"SH 13, near Durga Cold Storage",091220 07440
Abhijeet Kirana Store,Grocery store,"01, Basant Road, near Bay Sudha Deri",082353 87084
Satyanarayan Keshari,Grocery store,Station Rd,093041 95060
VB Mini Mart,Grocery store,"057, FCI Rd",078368 05634
Ritik Grocery Shop,Grocery store,"Front Of Gramin Bank, Main Road",082719 82436
Pandey KIRANA Store,Grocery store,320,078703 65386
Anand Store,Grocery store,Ghat,070044 63399
Amit Kirana Store,Grocery store,"Ward No 18, near of Sahnai Pailais",077849 89291
Umesh Kumar Dhruw,Grocery store,"Shop No 01, Mahavir Asthan Main Road, near Durga Mandir",096521 74340
Divya Laxmi General Store,Grocery store,"SH 13, Bhojpur Road",079035 06005
